Gene ID,Gene class (BV-BRC),Gene subsystem (BV-BRC),Gene annotation (BV-BRC),logFC,logCPM,PValue,FDR,Bt_1_mono_rep1,Bt_1_mono_rep2,Bt_1_mono_rep3,Bt_1_mono_rep4,Bt_1_mono_rep5,Bil_Bt_rep1,Bil_Bt_rep2,Bil_Bt_rep3,Bil_Bt_rep4,Bil_Bt_rep5,Bil_Bt_rep6
QI0072_1087,#N/A,#N/A,ATP-dependent Clp protease ATP-binding subunit ClpC,-1.552418208,9.849194688,3.96E-27,5.59E-26,48478.775,27587.507,37311.077,34586.485,47426.278,6525.917,8677.54,8181.672,6915.013,6462.028,5368.047
QI0072_1089,DNA Processing,"DNA topoisomerases, Type II, ATP-dependent",DNA gyrase subunit A (EC 5.99.1.3),1.044747386,10.67613777,1.42E-19,1.33E-18,24752.956,20672.986,30126.542,28580.022,38800.627,39378.442,40702.087,29492.256,28097.26,25730.919,21744.438
QI0072_109,#N/A,#N/A,hypothetical protein,-2.033333279,-0.061231029,5.61E-06,1.59E-05,39.549,19.72,67.827,28.922,29.606,3.731,3.756,4.902,9.914,4.803,0.962
QI0072_1090,#N/A,#N/A,TPR domain protein,1.316987767,9.725886631,3.91E-08,1.43E-07,20228.586,6901.028,10875.974,11486.134,13416.772,23952.615,21139.356,16778.065,14084.816,13339.04,11683.679
QI0072_1091,#N/A,#N/A,UspA,-1.54119412,6.817927062,2.01E-11,1.01E-10,7447.582,3163.534,4324.492,4232.93,4015.231,957.06,1203.831,768.656,777.257,818.44,673.411
QI0072_1105,#N/A,#N/A,Uncharacterized protein Fjoh_4981 DUF4295-containing,1.335882291,6.212966694,1.22E-19,1.16E-18,894.93,866.65,1083.178,1107.296,1657.954,1960.76,2008.577,1394.169,1129.204,1371.752,1023.585
QI0072_1106,Protein Synthesis,"Ribosomal proteins, zinc requirement",LSU ribosomal protein L33p @ LSU ribosomal protein L33p zinc-independent,5.206088041,3.780902182,0.00011494,0.000268229,37.289,9.341,8.221,11.362,22.46,1474.768,836.672,23.53,13.88,11.527,9.62
QI0072_1107,Protein Synthesis,"Ribosomal proteins, zinc requirement",LSU ribosomal protein L28p @ LSU ribosomal protein L28p zinc-independent,1.635282294,9.290922043,4.70E-05,0.000116513,11953.872,4792.006,6345.946,6793.552,9616.953,27334.973,27695.637,8655.219,6506.557,7248.768,5556.602
QI0072_111,#N/A,#N/A,hypothetical protein,1.442619428,6.39667147,5.56E-12,2.96E-11,1649.745,757.67,1131.48,1031.893,1302.679,2290.974,2577.627,1658.884,1377.054,1356.382,1109.204
QI0072_1112,#N/A,#N/A,putative lipoprotein,1.209877202,3.270518803,3.67E-12,1.99E-11,140.115,96.525,192.177,138.412,214.391,189.36,270.44,180.399,141.77,211.334,131.796
QI0072_1113,#N/A,#N/A,hypothetical protein,2.401380673,2.482643835,4.64E-17,3.72E-16,38.419,19.72,80.159,24.79,78.61,110.071,185.927,133.338,94.183,143.131,101.974
QI0072_1115,#N/A,#N/A,Uncharacterized protein BT_0924,1.061082341,4.39678454,0.000731597,0.001511541,701.707,201.354,271.308,243.77,332.816,391.779,513.647,373.543,434.233,369.835,285.719
QI0072_1119,#N/A,#N/A,Two-component transcriptional response regulator LuxR family,1.131295841,4.387793978,3.08E-10,1.39E-09,386.447,262.59,337.08,281.989,467.576,499.052,626.33,362.758,322.205,374.638,249.162
QI0072_112,#N/A,#N/A,heparin lyase I precursor( EC:4.2.2.7 ),-3.847524447,6.869660007,1.07E-32,1.93E-31,1601.157,6253.376,8419.811,7118.924,9510.778,214.546,307.062,254.911,234.962,227.665,175.087
QI0072_1121,#N/A,#N/A,Efflux transport system outer membrane factor (OMF) lipoprotein BT_0954,-2.697249762,6.686824225,1.57E-28,2.36E-27,8165.108,3418.858,4851.694,4064.563,4881.982,443.083,410.354,416.682,428.285,472.62,321.313
QI0072_1122,#N/A,#N/A,putative membrane protein,-3.406547207,6.334479814,2.89E-74,1.79E-72,4316.456,3322.333,4932.881,4047.003,4941.194,154.846,205.647,263.735,227.031,219.98,191.441
QI0072_1123,#N/A,#N/A,Efflux ABC transporter permease protein,-3.352688415,5.765059598,3.69E-69,1.96E-67,2316.423,2322.831,3583.532,2887.027,3414.937,115.668,138.037,150.986,165.564,166.186,137.568
QI0072_1124,#N/A,#N/A,Efflux ABC transporter permease protein,-3.364970188,5.100564994,1.94E-76,1.27E-74,1461.041,1525.72,2031.73,1798.324,2338.9,98.878,92.964,81.376,96.166,77.809,100.05
QI0072_113,#N/A,#N/A,Putative periplasmic protein,-3.105566564,6.506877367,2.66E-41,6.52E-40,7163.961,3469.715,4188.838,3853.846,4524.664,271.447,342.745,307.854,245.867,301.632,260.706
QI0072_1134,#N/A,#N/A,RNA polymerase ECF-type sigma factor,1.120578039,4.696008646,2.85E-07,9.33E-07,580.801,359.115,365.855,358.425,426.74,683.747,599.099,503.94,449.104,400.575,334.781
QI0072_114,#N/A,#N/A,hypothetical protein,-2.533876812,6.351300205,6.49E-40,1.53E-38,5371.841,3159.382,4000.772,3179.345,4048.921,393.645,393.452,396.093,351.947,363.111,285.719
QI0072_1141,#N/A,#N/A,hypothetical protein,1.246349803,6.361037967,4.33E-10,1.93E-09,1844.099,799.187,1131.48,995.74,1637.536,2029.788,2064.918,1644.178,1391.925,1422.664,1108.242
QI0072_1142,#N/A,#N/A,Probable integral membrane protein Cj1165c,1.400953967,5.73308527,5.73E-17,4.56E-16,911.88,445.261,767.68,647.644,1136.271,1056.87,1133.405,1140.238,1093.514,951.005,914.877
QI0072_1143,#N/A,#N/A,putative membrane protein,1.551363742,6.339524482,1.54E-18,1.36E-17,1416.973,666.335,1032.822,896.58,1391.498,2054.974,2203.894,1765.751,1444.469,1445.719,1125.558
QI0072_1145,#N/A,#N/A,hypothetical protein,-1.01558977,1.577024176,0.00034451,0.000750654,73.448,56.047,139.765,117.754,166.408,35.447,49.768,31.374,17.845,11.527,23.088
QI0072_1146,#N/A,#N/A,RNA polymerase ECF-type sigma factor,-2.956447019,1.227742681,7.42E-11,3.55E-10,107.346,70.578,127.433,126.017,121.488,11.194,15.963,1.961,0,12.488,3.848
QI0072_1148,#N/A,#N/A,Pectate lyase (EC 4.2.2.2),-1.04041511,5.997726443,1.03E-18,9.25E-18,2228.286,1918.048,2539.406,2157.782,3311.825,635.241,739.953,631.396,567.081,631.121,480.046
QI0072_1151,Carbohydrates,Lactose utilization,beta-galactosidase (EC 3.2.1.23),-2.89097387,3.552900581,1.62E-12,9.05E-12,112.996,489.891,850.922,684.83,929.026,33.581,47.89,23.53,46.596,53.794,39.443
QI0072_1152,#N/A,#N/A,hypothetical protein,-3.442090552,2.767820997,1.46E-11,7.53E-11,35.029,290.613,540.562,364.623,622.754,9.328,21.598,20.589,12.888,15.37,20.202
QI0072_1153,#N/A,#N/A,Sialic acid-specific 9-O-acetylesterase,-3.128605836,2.293993568,1.93E-15,1.37E-14,55.368,235.604,289.807,284.055,388.966,8.395,20.659,15.687,12.888,16.33,13.468
QI0072_1154,#N/A,#N/A,putative glycosyslhydrolase,-2.656095405,4.342438329,1.36E-19,1.28E-18,324.299,900.901,1265.078,1148.613,1525.236,107.273,117.378,90.199,70.389,83.573,44.253
QI0072_1155,Respiration,Biogenesis of c-type cytochromes,putative cytochrome C-type biogenesis protein,-1.268839111,5.632512009,1.20E-07,4.13E-07,874.591,1749.907,2311.26,2293.095,2815.664,605.392,708.965,354.915,334.102,341.017,301.111
QI0072_1156,Membrane Transport,Magnesium transport,Mg(2+) transport ATPase P-type (EC 3.6.3.2),2.354016393,4.072779225,9.55E-27,1.31E-25,194.354,68.502,157.236,123.951,172.533,425.36,532.428,431.388,307.334,292.986,312.655
QI0072_1159,#N/A,#N/A,hypothetical protein,1.039888899,2.934967876,0.000252795,0.000561307,189.834,64.35,136.682,129.116,136.802,228.538,209.403,145.103,83.278,119.116,88.505
QI0072_116,Membrane Transport,Magnesium transport,Magnesium and cobalt transport protein CorA,-1.387731187,7.392189327,7.25E-28,1.06E-26,5725.519,5786.319,7616.162,6741.906,8611.358,1178.135,1722.174,1470.642,1264.035,1442.837,1173.659
QI0072_1160,Carbohydrates,Lactose utilization,beta-galactosidase,-1.403329428,3.608285272,2.46E-17,2.00E-16,397.747,351.85,616.61,456.553,702.385,109.138,107.049,85.297,101.123,89.337,90.429
QI0072_1161,Carbohydrates,Lactose utilization,beta-galactosidase,-2.299894822,2.593311384,6.95E-16,5.12E-15,119.776,237.68,337.08,342.931,382.84,33.581,52.585,35.295,16.854,21.133,23.088
QI0072_1166,Carbohydrates,Lactose utilization,beta-galactosidase,-3.650880122,2.706749625,1.25E-22,1.42E-21,110.736,211.733,561.115,391.479,514.538,16.791,17.841,15.687,11.897,19.212,4.81
QI0072_1167,#N/A,#N/A,hypothetical protein,-3.567062174,2.627858341,2.16E-20,2.14E-19,106.216,223.15,518.98,381.15,426.74,10.261,10.329,10.785,15.862,17.291,17.316
QI0072_1169,#N/A,#N/A,Two-component system sensor histidine kinase,-1.327556647,5.40131588,1.30E-24,1.61E-23,1665.565,1116.785,1877.578,1680.57,2328.691,428.158,414.111,401.976,300.394,345.82,256.858
QI0072_1172,#N/A,#N/A,alpha-L-rhamnosidase (EC 3.2.1.40),-3.101279166,1.785103492,1.35E-19,1.27E-18,74.578,146.345,191.149,195.223,251.143,9.328,15.024,3.922,15.862,11.527,5.772
QI0072_1173,#N/A,#N/A,putative secreted protein,-2.391197774,1.96189025,1.11E-09,4.82E-09,40.679,159.837,242.533,217.947,252.164,14.925,13.146,24.511,14.871,21.133,16.354
QI0072_1174,#N/A,#N/A,Putative glycosyl hydrolase of unknown function (DUF1680),-1.489824016,2.720004798,2.46E-15,1.74E-14,175.144,198.24,312.416,283.022,408.363,50.372,55.403,57.845,41.639,58.597,36.557
QI0072_1176,#N/A,#N/A,hypothetical protein,-2.979409891,3.104781061,2.94E-29,4.57E-28,474.584,363.267,406.963,417.302,475.743,53.17,37.561,20.589,26.768,15.37,21.164
QI0072_1177,#N/A,#N/A,Putative nitroreductase,-2.93535623,4.887856117,1.05E-46,3.08E-45,1867.828,1279.737,1469.587,1291.157,1500.735,99.81,109.866,124.514,110.045,105.667,73.113
QI0072_1178,#N/A,#N/A,hypothetical protein,1.084805806,6.909485527,2.25E-05,5.81E-05,3011.35,1316.063,1833.387,1690.899,2165.346,3516.682,3811.507,1956.934,1626.887,1677.226,1425.707
QI0072_1179,#N/A,#N/A,xylanase,-1.973073233,3.142323581,3.71E-18,3.18E-17,387.577,365.342,428.544,341.898,416.53,83.953,60.098,38.237,39.656,49.952,44.253
QI0072_1181,#N/A,#N/A,Putative large secreted protein SCO0341,-3.812143908,2.374051612,3.67E-14,2.40E-13,32.769,218.998,355.578,328.47,483.91,5.597,13.146,7.843,11.897,13.449,7.696
QI0072_1182,Carbohydrates,D-Galacturonate and D-Glucuronate Utilization,Rhamnogalacturonides degradation protein RhiN,-4.41753761,1.754098769,3.26E-17,2.63E-16,48.588,146.345,221.98,244.803,234.809,1.866,3.756,3.922,11.897,1.921,1.924
QI0072_1183,#N/A,#N/A,hypothetical protein,-4.445029597,1.573034118,3.50E-14,2.29E-13,15.819,124.549,221.98,193.157,243.997,1.866,5.634,6.863,1.983,3.842,1.924
QI0072_1184,#N/A,#N/A,alpha-L-rhamnosidase (EC 3.2.1.40),-4.03158246,3.163912916,1.50E-33,2.81E-32,183.054,308.258,696.769,637.315,679.925,12.126,16.902,13.726,18.837,14.409,15.392
QI0072_1185,#N/A,#N/A,hypothetical protein,-2.340971787,-0.263707245,7.28E-10,3.19E-09,33.899,23.872,40.08,25.823,40.836,5.597,7.512,0,1.983,1.921,2.886
QI0072_1187,#N/A,#N/A,Serine protease,-1.560859857,6.121358237,5.25E-11,2.54E-10,4174.081,2339.437,2416.084,2426.342,3053.536,846.989,701.453,452.958,446.13,415.944,344.402
QI0072_1191,#N/A,#N/A,hypothetical protein,-1.461287473,1.181960081,4.45E-09,1.80E-08,70.058,75.767,95.575,91.93,104.133,25.186,16.902,22.55,8.923,17.291,9.62
QI0072_1193,#N/A,#N/A,hypothetical protein,-1.126683615,1.671816623,1.25E-07,4.28E-07,144.635,73.691,119.211,110.523,138.843,36.379,31.927,28.432,23.794,27.858,20.202
QI0072_1194,#N/A,#N/A,Pectate lyase (EC 4.2.2.2),-1.377764193,3.010762229,3.76E-13,2.24E-12,214.693,249.097,417.239,354.294,393.05,80.221,73.244,68.63,70.389,54.755,44.253
QI0072_1195,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Cell surface glycan-binding lipoprotein utilization system for glycans and polysaccharides (PUL) SusD family,-1.011712334,1.286008625,0.000909567,0.001845519,44.069,64.35,122.294,104.325,99.028,37.312,28.171,19.609,25.776,15.37,9.62
QI0072_1196,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Outer membrane TonB-dependent transporter utilization system for glycans and polysaccharides (PUL) SusC family,-1.961725015,1.847957697,4.44E-14,2.88E-13,83.617,115.207,188.066,198.322,206.223,29.85,31.927,18.628,19.828,13.449,13.468
QI0072_1199,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Cell surface glycan-binding lipoprotein utilization system for glycans and polysaccharides (PUL) SusD family,-1.958643163,1.576086397,6.88E-09,2.73E-08,127.686,68.502,177.789,105.358,175.596,13.992,30.049,19.609,4.957,28.818,7.696
QI0072_1200,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Outer membrane TonB-dependent transporter utilization system for glycans and polysaccharides (PUL) SusC family,-2.002732649,1.575892784,2.14E-13,1.31E-12,106.216,63.312,167.512,145.643,177.638,13.992,18.781,26.472,14.871,8.645,17.316
QI0072_1201,#N/A,#N/A,hypothetical protein,-2.521023824,-0.555868196,0.000939777,0.001903661,4.52,19.72,28.775,38.218,41.857,0,1.878,7.843,0,0,3.848
QI0072_1219,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Cell surface glycan-binding lipoprotein utilization system for glycans and polysaccharides (PUL) SusD family,-1.086443042,0.907949589,0.004371843,0.007871095,29.379,47.744,86.325,59.91,122.509,4.664,17.841,21.569,25.776,17.291,9.62
QI0072_1220,#N/A,#N/A,Endo-beta-N-acetylglucosaminidase F2,-1.699838799,0.473576071,3.36E-05,8.49E-05,18.079,18.682,77.076,68.173,103.112,12.126,9.39,7.843,5.948,7.685,7.696
QI0072_1221,#N/A,#N/A,putative patatin-like protein,-1.501613233,0.976431928,0.00066055,0.001376192,20.339,60.198,117.156,71.272,124.551,6.53,9.39,9.804,20.819,19.212,14.43
QI0072_1222,#N/A,#N/A,hypothetical protein,-1.817696421,-0.116769249,0.000430519,0.000919643,4.52,28.023,54.467,46.482,39.815,5.597,10.329,3.922,2.974,1.921,5.772
QI0072_1226,#N/A,#N/A,RNA polymerase ECF-type sigma factor,1.370449643,5.351611393,6.18E-13,3.60E-12,700.577,339.395,652.579,575.34,749.346,1095.115,1273.319,811.794,611.694,687.797,503.134
QI0072_123,#N/A,#N/A,hypothetical protein,-2.596668824,2.463556807,1.87E-09,7.88E-09,449.725,161.913,232.256,190.058,263.394,37.312,4.695,30.393,22.802,19.212,19.24
QI0072_1234,#N/A,#N/A,hypothetical protein,-2.300147991,8.707147155,7.85E-42,1.96E-40,25988.004,16348.037,17572.36,16736.495,21955.646,2045.645,2536.31,2321.654,2067.068,2170.02,1680.641
QI0072_1235,#N/A,#N/A,hypothetical protein,-3.258982902,6.317959731,7.76E-31,1.31E-29,7022.716,3230.997,3277.283,2827.118,4122.426,287.305,230.061,206.87,195.306,245.916,207.795
QI0072_1236,#N/A,#N/A,hypothetical protein,-2.069875869,1.808533797,7.25E-15,4.93E-14,125.426,133.89,176.762,143.577,188.868,14.925,37.561,15.687,26.768,9.606,12.506
QI0072_1238,#N/A,#N/A,hypothetical protein,-1.366679446,3.202799572,4.36E-15,3.02E-14,248.592,270.893,467.596,379.084,515.559,70.893,90.147,71.571,76.338,73.006,65.417
QI0072_1239,#N/A,#N/A,Immunoreactive 53 kDa antigen PG123,-1.707622317,1.270420223,7.54E-05,0.000181479,18.079,89.26,166.485,81.601,147.011,21.455,28.171,14.706,15.862,9.606,6.734
QI0072_1240,#N/A,#N/A,hypothetical protein,-2.049802032,0.067682913,2.73E-05,6.99E-05,40.679,19.72,24.664,59.91,65.338,5.597,5.634,5.883,11.897,0,1.924
QI0072_1242,#N/A,#N/A,hypothetical protein,-1.602723218,0.38710741,3.95E-05,9.87E-05,42.939,41.516,47.273,52.679,62.275,6.53,7.512,5.883,2.974,7.685,18.278
QI0072_1259,Protein Synthesis,Universal GTPases,GTP-binding protein EngB,1.127005031,6.226879127,8.27E-19,7.43E-18,1032.786,854.196,1366.819,1273.597,1808.028,1400.143,2118.443,1530.448,1228.344,1388.082,980.294
QI0072_1260,#N/A,#N/A,hypothetical protein,1.035857949,7.081678058,1.31E-10,6.14E-10,1742.402,1382.489,2800.438,2505.878,3780.422,1939.305,3215.225,3112.859,2410.093,2520.643,1950.006
QI0072_1268,Membrane Transport,Copper Transport System,Lead cadmium zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),-3.624329751,9.866830105,5.37E-77,3.60E-75,69270.083,39999.81,46351.609,40001.081,53929.462,2411.306,2329.724,2105.959,2210.821,2169.059,1690.261
QI0072_1275,#N/A,#N/A,hypothetical protein,-1.034380017,4.508317733,4.01E-08,1.46E-07,519.783,650.766,1032.822,887.283,1293.49,295.7,330.537,229.42,181.426,172.91,132.758
QI0072_1290,Respiration,Na-translocating NADH-quinone oxidoreductase,Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.8),1.11619173,8.817823434,5.98E-17,4.75E-16,7099.554,4861.546,8137.198,7488.711,10755.265,7575.325,8821.211,9837.615,9515.455,8149.821,6787.02
QI0072_1291,Respiration,Na-translocating NADH-quinone oxidoreductase,Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.8),1.257692104,8.852544831,4.76E-12,2.55E-11,8116.52,4170.301,7291.414,6948.491,9908.932,6707.814,8620.26,10899.419,10145.985,9018.213,7556.632
QI0072_1292,Respiration,Na-translocating NADH-quinone oxidoreductase,Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.8),1.333304221,9.532106187,4.69E-21,4.83E-20,12307.55,6542.951,10855.421,10933.519,15488.194,12428.719,17736.325,16593.745,14934.446,14014.35,11491.276
QI0072_1293,Respiration,Na-translocating NADH-quinone oxidoreductase,Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.8),1.208583644,10.08188767,1.77E-12,9.87E-12,17533.626,11039.155,18295.849,16482.396,24335.382,15673.954,19541.134,25248.964,24065.237,21365.903,17100.789
QI0072_1294,Respiration,Na-translocating NADH-quinone oxidoreductase,Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.8),1.445865091,11.05640416,3.30E-14,2.17E-13,35469.519,17072.495,31130.588,27431.408,40960.868,30132.46,43577.385,53419.603,46643.375,43388.865,35521.464
QI0072_1296,"Protein Fate (folding, modification, targeting, degradation)",Protein degradation,Aminopeptidase C (EC 3.4.22.40),1.804318621,7.657543341,6.67E-30,1.06E-28,1974.044,1370.034,2738.777,2306.523,3707.938,3302.136,4724.24,5045.283,4369.099,4314.103,3601.786
QI0072_1297,#N/A,#N/A,Outer membrane protein/protective antigen OMA87,-1.772895594,8.171533951,2.68E-51,9.23E-50,13562.938,9856.981,13029.999,11360.117,16036.422,1890.8,2308.126,2098.116,1952.066,1935.631,1541.149
QI0072_1298,#N/A,#N/A,hypothetical protein,-1.395152029,5.47210731,4.98E-24,6.12E-23,1636.186,1372.11,2066.672,1714.657,2390.966,451.479,524.916,380.406,272.635,343.899,240.504
QI0072_1299,#N/A,#N/A,Tyrosine-protein kinase EpsD (EC 2.7.10.2),-2.326681273,5.209425922,2.21E-32,3.93E-31,928.829,1402.209,2119.083,1941.9,2745.221,174.435,257.293,180.399,143.753,202.689,157.771
QI0072_1300,#N/A,#N/A,Putative secreted polysaccharide polymerase,-2.743830639,4.056230303,4.48E-44,1.20E-42,500.573,717.192,1007.13,769.53,1250.612,67.162,91.086,72.552,44.613,67.243,50.987
QI0072_1301,#N/A,#N/A,Glycosyltransferase,-3.350026282,3.33249546,2.36E-31,4.03E-30,274.581,455.64,548.783,523.693,899.42,16.791,22.537,30.393,26.768,26.897,33.671
QI0072_1302,#N/A,#N/A,N-acetylglucosaminyltransferase (EC 2.4.1.-),-3.395576924,2.69830741,3.04E-30,4.98E-29,159.325,308.258,387.437,352.228,490.036,13.059,16.902,10.785,21.811,21.133,14.43
QI0072_1303,#N/A,#N/A,N-acetylmuramoyl-L-alanine amidase,-2.045530937,0.529806881,4.88E-08,1.76E-07,31.639,47.744,59.606,76.437,81.673,12.126,2.817,4.902,6.94,5.764,10.582
