Gene ID,Gene class (BV-BRC),Gene subsystem (BV-BRC),Gene annotation (BV-BRC),sampleA,sampleB,logFC,logCPM,PValue,FDR,Bil_mono_rep1,Bil_mono_rep2,Bil_mono_rep3,Bil_mono_rep4,Bil_mono_rep5,Bil_mono_rep6,Bil_Bt_rep1,Bil_Bt_rep2,Bil_Bt_rep3,Bil_Bt_rep4,Bil_Bt_rep5,Bil_Bt_rep6
QI0013_1061,Membrane Transport,Potassium-transporting ATPase,Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1),Bil_Bt,Bil_mono,1.347892385,3.912366737,4.30744E-28,2.3576E-27,139.271,156.425,307.612,235.331,364.134,343.239,256.032,365.923,395.336,344.253,434.265,323.707
QI0013_1063,Membrane Transport,Potassium-transporting ATPase,Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1),Bil_Bt,Bil_mono,1.682689066,3.038664976,1.43673E-26,7.52404E-26,62.584,68.091,172.13,129.876,137.409,146.194,156.841,165.469,244.407,236.792,247.877,177.268
QI0013_1068,"Protein Fate (folding, modification, targeting, degradation)",Peptide methionine sulfoxide reductase,Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12) / Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11),Bil_Bt,Bil_mono,-1.620230733,5.780497003,3.85298E-56,4.45542E-55,1272.833,1765.759,3152.75,2467.65,2853.524,3405.695,299.27,477.497,479.077,404.164,517.851,444.134
QI0013_107,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.412901536,9.293085036,1.76447E-36,1.20678E-35,12776.814,18038.527,35338.781,29357.603,32592.24,38619.492,3683.644,6010.785,6508.434,5324.502,6652.32,5354.654
QI0013_1107,#N/A,#N/A,Additional periplasmic component NikK of nickel ECF transporter,Bil_Bt,Bil_mono,-1.241718987,8.955036041,1.69363E-65,2.47307E-64,11850.396,14858.505,25209.781,22869.336,25511.103,24533.974,4121.951,5698.757,5228.948,4475.283,5148.726,3994.313
QI0013_1108,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-2.153029217,3.997380711,1.48114E-56,1.73784E-55,394.896,622.938,865.091,787.028,810.712,1097.094,58.497,111.573,107.111,88.441,122.978,77.073
QI0013_1109,"Stress Response, Defense and Virulence",Universal stress protein family,Universal stress protein family,Bil_Bt,Bil_mono,-3.606978594,8.419783457,3.9678E-134,1.936E-132,15303.088,14411.315,21422.928,18193.788,16640.215,22545.729,853.724,964.449,851.043,762.681,819.53,740.865
QI0013_1119,#N/A,#N/A,Permease of the drug/metabolite transporter (DMT) superfamily,Bil_Bt,Bil_mono,1.042400267,4.245942859,7.41284E-26,3.81709E-25,234.469,264.082,460.863,386.299,419.097,441.126,282.314,531.392,498.551,379.439,438.108,380.548
QI0013_1120,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.034180634,8.423346526,2.28605E-26,1.1925E-25,4481.361,5157.414,7574.817,7205.362,7729.249,7365.658,7409.678,9211.431,8012.852,5913.155,7445.909,6647.555
QI0013_1121,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,2.360270731,0.107462317,6.15609E-11,1.69165E-10,13.222,7.361,11.105,11.101,5.725,10.17,33.064,40.658,34.081,36.137,14.411,17.341
QI0013_1122,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.26588687,0.045212207,1.9107E-06,4.0193E-06,10.578,12.882,24.431,24.421,19.466,11.441,27.129,30.257,29.212,19.019,15.372,15.415
QI0013_1125,RNA Processing,Threonylcarbamoyladenosine,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,Bil_Bt,Bil_mono,2.523647748,4.325998127,1.37611E-83,2.94428E-82,79.332,161.025,263.192,174.279,186.647,209.757,474.762,590.961,674.797,451.713,679.259,491.341
QI0013_1127,RNA Processing,RNA pseudouridine synthases,tRNA pseudouridine(55) synthase (EC 5.4.99.25),Bil_Bt,Bil_mono,1.982686452,10.06602641,1.5707E-137,8.3789E-136,7699.584,10306.547,15522.766,13662.547,15483.69,13950.766,23840.682,34351.395,30881.953,23769.59,29855.695,24024.649
QI0013_1128,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S15p (S13e),Bil_Bt,Bil_mono,2.112594827,8.549213909,7.55668E-97,2.05675E-95,1969.19,3062.243,4947.34,4882.018,5632.619,5035.446,7589.41,9529.132,11808.464,9732.266,11042.043,9476.138
QI0013_1129,Amino Acids and Derivatives,Peptidase clustering with DAP,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),Bil_Bt,Bil_mono,2.729786971,10.46757925,2.78097E-86,6.11355E-85,4662.061,7155.97,14166.829,12341.583,14393.58,15692.387,25326.857,48356.703,46735.305,35366.716,47478,38820.758
QI0013_114,#N/A,#N/A,Exoenzymes regulatory protein AepA precursor,Bil_Bt,Bil_mono,-1.854288592,8.038196427,6.00052E-77,1.06703E-75,6564.259,7927.051,16894.251,12904.38,13164.915,17203.91,1499.739,1804.086,2044.84,1743.135,2172.284,1776.535
QI0013_1140,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,2.31989028,3.528413752,2.54687E-57,3.0509E-56,75.806,94.775,129.93,112.115,135.119,136.024,312.834,427.383,292.12,268.175,323.777,257.231
QI0013_1141,#N/A,#N/A,Hydrolase alpha/beta fold family,Bil_Bt,Bil_mono,-1.52123771,7.149960121,1.6359E-103,4.8125E-102,3658.955,4602.567,7741.394,6821.283,7077.702,7605.926,973.262,1453.292,1399.255,1089.816,1183.659,1038.56
QI0013_1142,"Protein Fate (folding, modification, targeting, degradation)",Protein degradation,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6),Bil_Bt,Bil_mono,1.062721455,6.027617764,6.85078E-19,2.74924E-18,900.856,1141.9,1413.684,1212.179,1287.063,1318.293,1420.895,1699.132,1469.364,1226.756,1521.848,1196.56
QI0013_1144,#N/A,#N/A,ATP-dependent Clp protease ATP-binding subunit ClpA,Bil_Bt,Bil_mono,-1.226731727,9.907544216,5.26817E-29,2.95623E-28,25346.484,27879.481,53111.449,41876.794,41661.226,49520.514,7873.419,7762.867,9597.116,9427.954,11261.097,9479.991
QI0013_1145,#N/A,#N/A,ATP-dependent Clp protease adaptor protein ClpS,Bil_Bt,Bil_mono,-1.18387933,7.06838417,2.73391E-25,1.3846E-24,3688.925,3782.717,7151.711,5963.211,5749.416,6614.346,1125.864,1056.166,1377.833,1381.765,1612.159,1334.328
QI0013_1160,#N/A,#N/A,membrane protein involved in aromatic hydrocarbon degradation,Bil_Bt,Bil_mono,2.840953819,5.18385776,8.0157E-172,7.4583E-170,133.101,206.113,303.17,315.255,308.025,339.425,867.288,1278.367,1210.351,854.925,1162.523,894.048
QI0013_1161,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.663546561,0.516424567,2.76751E-13,8.68456E-13,18.511,23.924,21.1,15.541,20.611,15.255,31.368,35.93,36.028,37.088,39.391,30.829
QI0013_1164,Protein Synthesis,Universal GTPases,GTP-binding protein Obg,Bil_Bt,Bil_mono,1.679203405,6.517009427,1.4629E-100,4.1511E-99,798.606,1032.403,1690.203,1288.773,1582.492,1324.649,1937.199,2432.869,2496.652,1978.976,2619.039,2110.84
QI0013_1165,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,2.062200345,4.690615398,3.56226E-94,9.19523E-93,185.107,229.116,383.127,286.394,327.491,366.122,582.431,664.713,770.223,703.721,735.944,596.353
QI0013_1166,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,2.047354812,3.218892482,2.76625E-44,2.30099E-43,71.399,77.292,143.256,123.216,128.248,105.514,200.926,207.073,308.673,279.586,248.837,222.549
QI0013_1167,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L27p,Bil_Bt,Bil_mono,1.615888989,9.112184742,3.0381E-87,6.75301E-86,5144.221,5814.398,9751.425,8919.285,9419.378,9215.336,12839.769,15573.011,15320.72,11889.074,14083.817,11204.502
QI0013_1168,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L21p,Bil_Bt,Bil_mono,1.869530513,10.14063056,2.9063E-108,9.3774E-107,9615.886,10426.166,17260.721,15330.958,16868.084,16055.966,26601.932,33969.397,32248.1,25352.011,29455.057,24332.942
QI0013_1175,#N/A,#N/A,isochorismatase family protein,Bil_Bt,Bil_mono,1.201519867,6.568270611,6.83989E-23,3.18584E-22,743.955,1062.768,2123.303,1995.877,2538.629,2136.982,1611.647,2640.888,2552.155,1822.066,2389.416,1954.767
QI0013_1176,Protein Synthesis,"Translation termination factors, bacterial",Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297),Bil_Bt,Bil_mono,1.888532845,4.731199244,1.20385E-38,8.78943E-38,144.56,237.397,349.812,445.132,448.869,439.855,434.068,855.712,852.99,553.467,811.844,638.743
QI0013_1178,#N/A,#N/A,Acetyltransferase,Bil_Bt,Bil_mono,-1.11228673,6.339963148,3.786E-20,1.59115E-19,1697.699,2301.283,4443.167,3377.895,3327.585,4866.369,506.13,908.662,1000.024,775.995,984.782,840.097
QI0013_1180,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-2.585073702,9.091128453,2.2994E-127,1.0698E-125,15426.493,19911.943,35055.599,29707.27,28395.544,39341.566,1991.457,2267.4,2864.723,2583.796,2936.09,2445.144
QI0013_1182,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.151184142,8.682422403,8.96531E-55,9.90889E-54,9714.609,12028.139,20379.045,17331.276,21016.687,20932.505,3338.594,4145.239,4618.417,3973.169,4679.874,3981.789
QI0013_119,#N/A,#N/A,Alkanesulfonates-binding protein,Bil_Bt,Bil_mono,-1.794044669,5.634685547,2.20891E-35,1.47298E-34,983.713,1334.211,2953.968,2776.246,2963.451,3165.428,239.924,364.978,476.156,362.321,405.442,317.927
QI0013_1200,#N/A,#N/A,Nitroreductase family protein,Bil_Bt,Bil_mono,-2.312265721,8.942160943,4.2056E-149,2.8044E-147,16426.073,17899.585,31042.201,24345.709,25361.098,29073.63,2500.978,3028.558,2884.198,2282.337,2957.227,2317.974
QI0013_1201,"Stress Response, Defense and Virulence",Cluster containing Glutathione synthetase,Putative pre-16S rRNA nuclease YqgF,Bil_Bt,Bil_mono,1.264480003,5.09775668,9.67844E-35,6.33771E-34,317.327,431.548,690.74,689.344,755.749,741.142,511.217,889.751,993.208,750.318,922.332,696.548
QI0013_1202,"Fatty Acids, Lipids, and Isoprenoids",Fatty Acid Biosynthesis cluster,Murein endolytic transglycosylase MltG,Bil_Bt,Bil_mono,1.030703968,6.576842122,1.37938E-46,1.2183E-45,977.543,1457.51,2320.975,2006.978,2243.2,2248.852,1600.626,2380.865,2399.279,1831.576,2321.202,1982.706
QI0013_1204,#N/A,#N/A,Carbon starvation protein A,Bil_Bt,Bil_mono,-1.011766571,9.06179896,2.37437E-17,8.8701E-17,11019.176,12585.747,27500.772,21943.551,24791.996,32747.56,4266.923,5615.55,7127.728,5840.881,6340.072,5309.373
QI0013_1208,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.214982892,3.330317132,2.85412E-22,1.29032E-21,81.976,151.824,230.987,190.929,240.466,197.045,181.427,233.548,287.251,196.852,287.268,195.573
QI0013_1212,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.335340724,1.385483764,4.89845E-07,1.07626E-06,36.14,37.726,63.299,33.302,41.223,44.494,81.388,89.826,49.66,42.794,59.567,37.573
QI0013_1213,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,3.205863789,6.234110657,1.45776E-16,5.29264E-16,505.96,441.67,385.348,385.189,273.673,343.239,3527.651,3394.481,1786.801,1250.531,1714,1250.511
QI0013_1214,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.229393789,3.72841535,3.74091E-24,1.81643E-23,359.637,476.635,558.589,569.458,610.324,605.118,107.669,127.648,144.113,98.901,164.29,116.573
QI0013_1219,Amino Acids and Derivatives,Diaminopimelate Synthesis ,Diaminopimelate decarboxylase (EC 4.1.1.20),Bil_Bt,Bil_mono,1.76502999,7.562012934,3.08774E-92,7.62597E-91,1264.9,1849.492,3063.908,2959.404,3129.487,3279.841,3403.026,5544.635,5852.137,4277.48,5108.374,4432.667
QI0013_1220,Membrane Transport,Copper Transport System,Lead cadmium zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),Bil_Bt,Bil_mono,-2.003568658,8.594441848,1.82008E-53,1.9471E-52,10899.296,12465.208,24854.417,18868.701,18786.083,25072.986,2037.238,1870.274,2780.009,2630.394,3087.891,2477.9
QI0013_1226,#N/A,#N/A,Transcriptional regulator AraC family,Bil_Bt,Bil_mono,1.211059265,5.231319241,4.40894E-38,3.18415E-37,426.628,438.909,821.78,704.884,800.407,860.64,619.734,890.697,1043.842,827.347,1018.408,740.865
QI0013_1229,Energy and Precursor Metabolites Generation,"Pyruvate metabolism I: anaplerotic reactions, PEP",NADP-dependent malic enzyme (EC 1.1.1.40),Bil_Bt,Bil_mono,-1.110764547,10.53798836,1.26623E-23,6.05281E-23,27892.15,39017.839,77419.492,67785.459,76801.255,83672.812,10528.695,17909.435,18496.065,13737.768,17331.195,14307.658
QI0013_1230,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.335724994,3.825786235,1.12405E-25,5.7584E-25,141.916,176.668,324.27,309.705,261.077,222.47,333.181,374.433,370.019,282.439,352.6,262.049
QI0013_1231,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.050137956,0.433066116,0.000163481,0.000292395,21.155,48.768,71.073,42.182,38.933,68.648,11.021,16.074,16.553,4.755,21.137,7.707
QI0013_1233,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.070921608,7.343553361,2.55882E-57,3.05607E-56,1888.976,2308.644,3736.88,3480.02,3596.677,3601.469,2584.91,3887.107,4215.292,3249.477,4277.315,3325.704
QI0013_1237,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.295047116,3.755659953,2.5994E-06,5.42524E-06,215.077,238.318,182.124,251.982,235.885,167.806,451.872,235.439,312.568,262.469,323.777,234.11
QI0013_1238,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L17p,Bil_Bt,Bil_mono,1.706356769,9.83877894,6.24557E-29,3.49002E-28,5158.325,7532.309,15188.502,16780.689,20461.326,14499.948,16658.212,23848.359,27603.392,21945.622,26048.193,20840.567
QI0013_1239,RNA Processing,"RNA polymerase, bacterial",DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),Bil_Bt,Bil_mono,1.702374876,11.05041201,1.94381E-37,1.37893E-36,13852.199,17346.578,35426.511,35706.003,47507.973,33510.314,38923.701,60073.81,61834.988,51192.822,56598.519,48088.798
QI0013_124,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.00590698,1.047165079,9.50937E-05,0.000173098,14.985,19.323,65.52,56.613,42.368,54.664,43.237,51.059,46.739,54.206,24.98,41.427
QI0013_1240,#N/A,#N/A,SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e) zinc-dependent,Bil_Bt,Bil_mono,1.635437867,10.57934629,4.62131E-23,2.17272E-22,8966.247,11411.641,28820.063,27581.517,35561.417,26906.138,25562.542,40122.013,46080.956,37275.32,42672.266,34849.566
QI0013_1241,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S11p (S14e),Bil_Bt,Bil_mono,1.658732789,10.66857204,2.42893E-32,1.4928E-31,10407.44,14399.353,27751.748,27608.158,36014.866,27850.681,26248.404,52987.003,47829.781,34439.516,47229.163,35249.383
QI0013_1242,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S13p (S18e),Bil_Bt,Bil_mono,1.603692881,10.74552345,2.66836E-29,1.51219E-28,10679.812,14791.335,30585.78,32199.342,38521.433,30498.708,29306.38,51527.092,50697.426,38683.712,45767.843,37524.966
QI0013_1243,Protein Synthesis,"Translation termination factors, bacterial",Methionine aminopeptidase (EC 3.4.11.18),Bil_Bt,Bil_mono,1.662245193,10.13988928,2.13306E-39,1.59223E-38,8195.848,9294.387,18365.683,19826.678,25303.844,18018.786,20805.597,30467.125,33283.179,27490.751,30826.065,24533.332
QI0013_1244,#N/A,#N/A,Protein translocase subunit SecY,Bil_Bt,Bil_mono,1.661734717,10.66110304,2.90086E-18,1.13012E-17,9236.856,11764.057,26052.661,28995.726,41744.816,27537.952,24846.16,43085.329,51388.777,39222.914,47370.395,36152.102
QI0013_1245,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L15p (L27Ae),Bil_Bt,Bil_mono,1.720968256,8.953963704,6.95292E-28,3.75928E-27,3078.071,3913.378,7508.186,8945.927,11832.049,7272.857,9142.56,13065.444,15195.109,11932.819,14077.092,10973.283
QI0013_1246,#N/A,#N/A,LSU ribosomal protein L30p (L7e),Bil_Bt,Bil_mono,1.661713443,7.326829623,1.05917E-13,3.39291E-13,741.311,1103.254,2623.034,2997.146,4441.742,2698.877,2629.842,4231.282,4967.014,4092.04,4602.052,3418.192
QI0013_1247,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S5p (S2e),Bil_Bt,Bil_mono,1.783635407,10.40972667,1.10582E-23,5.29868E-23,7612.319,10184.168,19488.412,23069.146,32896.83,20272.723,21932.309,39720.159,42492.749,31839.554,39076.132,32183.8
QI0013_1248,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L18p (L5e),Bil_Bt,Bil_mono,1.58108604,9.214183293,2.54953E-17,9.51555E-17,3465.033,4693.661,10504.353,11228.198,15822.632,9866.219,9580.867,14062.041,17931.299,15605.48,16717.267,13126.513
QI0013_1249,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L6p (L9e),Bil_Bt,Bil_mono,1.792253522,9.979397979,8.37492E-23,3.88274E-22,5550.576,7110.882,15208.491,16224.552,24312.21,15850.022,15971.502,28343.446,32785.601,24324.008,30306.292,22575.675
QI0013_1250,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S8p (S15Ae),Bil_Bt,Bil_mono,1.723623119,9.014464349,1.35003E-27,7.26006E-27,3028.709,4110.289,7935.734,8292.105,12710.321,8461.481,9875.897,15065.257,15516.441,12045.985,13628.416,11433.795
QI0013_1251,#N/A,#N/A,SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e) zinc-dependent,Bil_Bt,Bil_mono,1.718725563,7.495563723,1.59877E-16,5.79934E-16,911.433,1185.147,2750.743,3053.759,4752.057,3201.023,2954.546,4810.897,5650.575,4447.704,5191.961,4109.923
QI0013_1252,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L5p (L11e),Bil_Bt,Bil_mono,1.877271249,10.74956183,6.58405E-24,3.17383E-23,9045.579,11726.331,24832.206,25291.475,40733.716,25603.1,27313.227,54410.038,54244.736,38409.832,50869.492,41606.95
QI0013_1253,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L24p (L26e),Bil_Bt,Bil_mono,1.724254312,8.962371836,1.37287E-22,6.31361E-22,2967.006,3572.004,7694.752,8110.056,12366.799,8404.275,7904.787,13374.635,15573.891,12179.121,14438.339,11708.368
QI0013_1254,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L14p (L23e),Bil_Bt,Bil_mono,1.671166248,8.634245422,2.84798E-39,2.11014E-38,2852.416,3526.917,6074.512,5982.082,9344.949,6849.528,7823.399,11771.948,12070.398,8984.8,10551.094,7983.81
QI0013_1255,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S17p (S11e),Bil_Bt,Bil_mono,1.711669146,9.331115103,8.63749E-13,2.64209E-12,2925.577,3805.721,11076.268,10622.109,17226.493,11778.189,9615.626,15901.112,21179.674,16250.24,19375.697,14741.194
QI0013_1256,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L29p (L35e),Bil_Bt,Bil_mono,1.527913352,6.604782732,2.63541E-18,1.02871E-17,1068.334,1295.565,1476.984,1426.42,2033.651,1353.888,2598.474,3399.209,2376.883,1760.253,2190.538,1676.34
QI0013_1257,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L16p (L10e),Bil_Bt,Bil_mono,1.889774197,9.291763289,3.96815E-21,1.72197E-20,3074.545,3799.28,10265.593,7970.189,14640.916,10454.811,10356.594,16578.117,20176.728,16107.594,18731.986,14848.133
QI0013_1258,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S3p (S3e),Bil_Bt,Bil_mono,1.910670365,9.818016168,8.16317E-27,4.30882E-26,4590.662,5760.109,14318.969,11655.569,19175.408,15546.192,15656.972,23025.741,29845.9,22463.903,27166.52,21564.09
QI0013_1259,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L22p (L17e),Bil_Bt,Bil_mono,1.961023561,8.782722241,1.61658E-23,7.69991E-23,1988.582,2748.474,7277.199,5381.543,8810.199,7720.339,6810.291,11371.04,15301.246,11319.441,13412.244,10729.539
QI0013_1260,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S19p (S15e),Bil_Bt,Bil_mono,1.966710001,9.595378737,9.87117E-23,4.56584E-22,3487.951,4531.715,11901.38,10246.91,15455.063,13826.183,11852.942,21148.848,26406.674,19417.934,23870.144,18666.142
QI0013_1261,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L2p (L8e),Bil_Bt,Bil_mono,1.943050902,11.03775843,1.92058E-45,1.63495E-44,11565.683,15429.916,32408.134,27226.299,38306.159,35292.615,35842.835,65668.558,67434.928,47861.56,62233.391,49432.76
QI0013_1262,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L23p (L23Ae),Bil_Bt,Bil_mono,1.926011036,8.596620897,3.84897E-37,2.7017E-36,2031.773,2683.144,6516.497,4844.276,6950.599,7013.521,6533.912,11033.483,12304.094,9855.892,11181.354,9200.601
QI0013_1263,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L4p (L1e),Bil_Bt,Bil_mono,2.034127213,10.94791373,4.97337E-82,1.01523E-80,11801.034,15777.73,28243.706,23004.763,30448.661,31444.522,35326.532,61389.999,64532.229,44270.683,59087.854,47662.006
QI0013_1264,Protein Synthesis,"Ribosomal proteins, single-copy",LSU ribosomal protein L3p (L3e),Bil_Bt,Bil_mono,1.887352063,10.16512664,2.05436E-95,5.47966E-94,8060.984,9649.563,19480.639,14119.889,17713.149,19354.876,22335.009,31436.301,36302.726,27766.533,31649.438,26902.366
QI0013_1265,Protein Synthesis,"Ribosomal proteins, single-copy",SSU ribosomal protein S10p (S20e),Bil_Bt,Bil_mono,1.953437548,9.449078121,3.3146E-124,1.4901E-122,5071.06,5987.385,10841.949,8774.978,9235.021,11419.695,13801.162,19588.71,22679.223,16726.678,19680.259,16098.644
QI0013_1268,#N/A,#N/A,Uncharacterized MFS-type transporter,Bil_Bt,Bil_mono,2.939315305,8.056488199,3.53899E-51,3.59378E-50,870.004,1065.528,2069.998,1661.751,3143.228,2509.46,5543.694,5781.019,7562.013,8381.883,9993.851,8256.456
